hedge_period mean_error std_error
1 -0.00013872729702623092 0.00951698088650496
10 0.00031516376688726444 0.030656615925768783
60 -0.004016529292565821 0.07018939816864388
360 0.00367551197845823 0.17713884995108076
1440 0.016477298304060545 0.36088088669205065
2880 -0.01384230441102228 0.5240783803994469
7200 0.075015135487303 0.7790497965428722
10080 0.04921860824363826 0.9321264247174539
20160 -0.014751476522303492 1.2711948775171886
40320 -0.01396816544962536 1.9018204530246319
131400 0.9626709612583628 3.262865832590297
262800 2.012058357416252 4.127103248341456
